sourceTaxonId	sourceTaxonName	stage	interactionTypeId	interactionTypeName	targetTaxonId	targetTaxonName	LocationinhostName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	notes	referenceSource	referenceDoi	referenceCitation
EOL:6835926	Crenosoma petrowi	http://www.ebi.ac.uk/efo/EFO_0001272	RO:0002444	parasite of	EOL:328582	Ursus americanus	lungs						failed to infect raccoons, skunks, and foxes with larvae from snails	Addison and Fraser. 1994. Can. J. Zool. 72: 300-302	doi:10.1002/ecy.1680	Benesh, D. P., Lafferty, K. D. and Kuris, A. (2017), A life cycle database for parasitic acanthocephalans, cestodes, and nematodes. Ecology, 98: 882. doi:10.1002/ecy.1680
EOL:6835926	Crenosoma petrowi	http://www.ebi.ac.uk/efo/EFO_0001272	RO:0002444	parasite of	EOL:328587	Mustela erminea	lungs							Addison and Fraser. 1994. Can. J. Zool. 72: 300-302	doi:10.1002/ecy.1680	Benesh, D. P., Lafferty, K. D. and Kuris, A. (2017), A life cycle database for parasitic acanthocephalans, cestodes, and nematodes. Ecology, 98: 882. doi:10.1002/ecy.1680
EOL:6835926	Crenosoma petrowi	http://www.ebi.ac.uk/efo/EFO_0001272	RO:0002444	parasite of	EOL:328595	Taxidea taxus	lungs							Addison and Fraser. 1994. Can. J. Zool. 72: 300-302	doi:10.1002/ecy.1680	Benesh, D. P., Lafferty, K. D. and Kuris, A. (2017), A life cycle database for parasitic acanthocephalans, cestodes, and nematodes. Ecology, 98: 882. doi:10.1002/ecy.1680
EOL:6835926	Crenosoma petrowi	http://www.ebi.ac.uk/efo/EFO_0001272	RO:0002444	parasite of	EOL:328022	Martes zibellina	lungs							Addison and Fraser. 1994. Can. J. Zool. 72: 300-302	doi:10.1002/ecy.1680	Benesh, D. P., Lafferty, K. D. and Kuris, A. (2017), A life cycle database for parasitic acanthocephalans, cestodes, and nematodes. Ecology, 98: 882. doi:10.1002/ecy.1680
EOL:6835926	Crenosoma petrowi	http://purl.obolibrary.org/obo/PATO_0001185	RO:0002444	parasite of	EOL:455691	Mesodon thyroidus	muscles							Addison and Fraser. 1994. Can. J. Zool. 72: 300-302	doi:10.1002/ecy.1680	Benesh, D. P., Lafferty, K. D. and Kuris, A. (2017), A life cycle database for parasitic acanthocephalans, cestodes, and nematodes. Ecology, 98: 882. doi:10.1002/ecy.1680
EOL:6835926	Crenosoma petrowi	http://www.ebi.ac.uk/efo/EFO_0001272	RO:0002444	parasite of	EOL:311514	Martes foina	lungs							Addison and Fraser. 1994. Can. J. Zool. 72: 300-302	doi:10.1002/ecy.1680	Benesh, D. P., Lafferty, K. D. and Kuris, A. (2017), A life cycle database for parasitic acanthocephalans, cestodes, and nematodes. Ecology, 98: 882. doi:10.1002/ecy.1680
EOL:6835926	Crenosoma petrowi	http://www.ebi.ac.uk/efo/EFO_0001272	RO:0002444	parasite of	EOL:328020	Martes martes	lungs							Addison and Fraser. 1994. Can. J. Zool. 72: 300-302	doi:10.1002/ecy.1680	Benesh, D. P., Lafferty, K. D. and Kuris, A. (2017), A life cycle database for parasitic acanthocephalans, cestodes, and nematodes. Ecology, 98: 882. doi:10.1002/ecy.1680
EOL:6835926	Crenosoma petrowi	http://www.ebi.ac.uk/efo/EFO_0001272	RO:0002444	parasite of		Mustelus pennanti	lungs						speculated that specimens from mustelids might be separate species	Addison and Fraser. 1994. Can. J. Zool. 72: 300-302	doi:10.1002/ecy.1680	Benesh, D. P., Lafferty, K. D. and Kuris, A. (2017), A life cycle database for parasitic acanthocephalans, cestodes, and nematodes. Ecology, 98: 882. doi:10.1002/ecy.1680
EOL:6835925	Crenosoma vulpis	http://www.ebi.ac.uk/efo/EFO_0001272	RO:0002444	parasite of	EOL:328582	Ursus americanus	lungs							Addison. 1978. Can. J. Zool. 56: 1993-1997	doi:10.1002/ecy.1680	Benesh, D. P., Lafferty, K. D. and Kuris, A. (2017), A life cycle database for parasitic acanthocephalans, cestodes, and nematodes. Ecology, 98: 882. doi:10.1002/ecy.1680
EOL:11988100	Echinococcus intermedius	http://purl.obolibrary.org/obo/PATO_0001185	RO:0002444	parasite of	EOL:311906	Ovis aries	lungs							Addy et al. 2012. Parasitol. Res. 111: 2289-2294	doi:10.1002/ecy.1680	Benesh, D. P., Lafferty, K. D. and Kuris, A. (2017), A life cycle database for parasitic acanthocephalans, cestodes, and nematodes. Ecology, 98: 882. doi:10.1002/ecy.1680
EOL:2923037	Echinococcus granulosus	http://purl.obolibrary.org/obo/PATO_0001185	RO:0002444	parasite of	EOL:328660	Capra hircus	liver							Addy et al. 2012. Parasitol. Res. 111: 2289-2294	doi:10.1002/ecy.1680	Benesh, D. P., Lafferty, K. D. and Kuris, A. (2017), A life cycle database for parasitic acanthocephalans, cestodes, and nematodes. Ecology, 98: 882. doi:10.1002/ecy.1680
EOL:2923037	Echinococcus granulosus	http://purl.obolibrary.org/obo/PATO_0001185	RO:0002444	parasite of	EOL:328660	Capra hircus	lungs							Addy et al. 2012. Parasitol. Res. 111: 2289-2294	doi:10.1002/ecy.1680	Benesh, D. P., Lafferty, K. D. and Kuris, A. (2017), A life cycle database for parasitic acanthocephalans, cestodes, and nematodes. Ecology, 98: 882. doi:10.1002/ecy.1680
EOL:2962282	Hysterothylacium aduncum	http://purl.obolibrary.org/obo/PATO_0001185	RO:0002444	parasite of	EOL:211404	Micromesistius poutassou	gut wall							Adroher et al. 2004. Dis. Aquat. Org. 58: 41-45	doi:10.1002/ecy.1680	Benesh, D. P., Lafferty, K. D. and Kuris, A. (2017), A life cycle database for parasitic acanthocephalans, cestodes, and nematodes. Ecology, 98: 882. doi:10.1002/ecy.1680
EOL:2923507	Gnathostoma spinigerum	http://purl.obolibrary.org/obo/PATO_0001185	RO:0002444	parasite of	EOL:43973844	Glossogobius giuris	muscles						just CAB abstract	Africa et al. 1936. Philipp. J. Sci. 59: 513-521	doi:10.1002/ecy.1680	Benesh, D. P., Lafferty, K. D. and Kuris, A. (2017), A life cycle database for parasitic acanthocephalans, cestodes, and nematodes. Ecology, 98: 882. doi:10.1002/ecy.1680
EOL:2923507	Gnathostoma spinigerum	http://purl.obolibrary.org/obo/PATO_0001185	RO:0002444	parasite of	EOL:994964	Mesopristes argenteus	muscles						might be third host	Africa et al. 1936. Philipp. J. Sci. 59: 513-521	doi:10.1002/ecy.1680	Benesh, D. P., Lafferty, K. D. and Kuris, A. (2017), A life cycle database for parasitic acanthocephalans, cestodes, and nematodes. Ecology, 98: 882. doi:10.1002/ecy.1680
EOL:2923507	Gnathostoma spinigerum	http://purl.obolibrary.org/obo/PATO_0001185	RO:0002444	parasite of	EOL:795454	Cerberus rynchops	muscles						just CAB abstract	Africa et al. 1936. Philipp. J. Sci. 61: 221-225	doi:10.1002/ecy.1680	Benesh, D. P., Lafferty, K. D. and Kuris, A. (2017), A life cycle database for parasitic acanthocephalans, cestodes, and nematodes. Ecology, 98: 882. doi:10.1002/ecy.1680
